"instance","w","h","lots","land_cells","river_cells","preserve_cells","aptitude_classes","connected_components","batch_size","crossover_rate","keep_rate","new_rate","time","generations","seed","num_new_solutions","num_crossovers","num_mutations","num_solutions_explored","generation_best","time_to_best","time_avg","time_std_dev","time_initial","value_best","value_worst","value_avg","value_std_dev","value_initial","max_area_best","max_area_worst","max_area_avg","max_area_std_dev","max_area_initial","min_area_best","min_area_worst","min_area_avg","min_area_std_dev","min_area_initial","rivers_best","rivers_worst","rivers_avg","rivers_std_dev","rivers_initial","river_violations_best","river_violations_worst","river_violations_avg","river_violations_std_dev","river_violations_initial","size_ratio_best","size_ratio_worst","size_ratio_avg","size_ratio_std_dev","size_ratio_initial","convexity_best","convexity_worst","convexity_avg","convexity_std_dev","convexity_initial","num_empty_crossover_lots","num_disconnected_crossover_lots","num_empty_mutation_lots","num_disconnected_mutation_lots"
"600x600k40s6306",600,600,40,342444,17364,192,10,4,256,0,0,1,1800,384,14043053359233556480,385,0,0,385,56,273.46,4.68,0.46,4.59,191294.52,191294.52,230577.29,37471.2,211204.59,3959,3959,3132.43,809.74,2907,13457,13457,17122.6,3878.8,15225,4749,4749,44097.67,20575.91,52517,5,5,11.99,2.8,15,3.4,3.4,5.95,2.52,5.24,1.6,1.6,1.62,0.09,1.6,0,0,0,0
"600x600k60s6306",600,600,60,342444,17364,192,10,4,256,0,0,1,1800,293,14042371728486383616,294,0,0,294,93,570.68,6.13,0.6,6.33,126496.24,126496.24,141705.54,30176.46,122624.41,1105,1105,2115.99,564.24,1324,8052,8052,11484.39,3358.47,9374,7737,7737,44539.86,20597.04,32075,6,6,17.6,3.84,15,7.29,7.29,5.93,2.66,7.08,1.53,1.53,1.56,0.07,1.56,0,0,0,0
"600x600k80s6306",600,600,80,342444,17364,192,10,4,256,0,0,1,1800,332,14042797030605815808,333,0,0,333,319,1730.76,5.41,0.41,4.43,118318.89,118318.89,111386.31,18608.64,176290.32,1736,1736,1480.78,397.16,1214,7930,7930,8629.62,2092.57,10248,11827,11827,46341.06,16920.72,20159,12,12,23.2,3.99,18,4.57,4.57,6.39,2.81,8.44,1.6,1.6,1.52,0.06,1.52,0,0,0,0
"200x200k100s45221",200,200,100,37594,2241,165,5,7,256,0,0,1,1800,8064,14041377918114893824,8065,0,0,8065,763,172.31,0.22,0.01,0.22,5460.23,5460.23,8583.59,1596.24,12887.99,114,114,133.42,35.81,92,630,630,910.29,206.47,1388,1138,1138,7032.94,2155.43,11834,21,21,35.8,4,39,5.53,5.53,7.63,4.18,15.09,1.29,1.29,1.32,0.02,1.32,0,0,0,0
"200x200k20s45221",200,200,20,37196,2241,563,5,7,256,0,0,1,1800.01,15146,14041103376761632768,15147,0,0,15147,1050,125.06,0.12,0.01,0.15,11379.24,11379.24,32481.22,12692.1,12974.38,1329,1329,988.59,251.52,1337,2482,2482,3418.59,786.07,2798,215,215,7089.79,3851.69,4576,2,2,9.66,2.46,10,1.87,1.87,3.99,3.1,2.09,1.32,1.32,1.31,0.04,1.3,0,0,0,0
"200x200k40s45221",200,200,40,37196,2241,563,5,7,256,0,0,1,1800,11689,14041105040066762752,11690,0,0,11690,9380,1444.89,0.15,0.01,0.14,7558.8,7558.8,19099.59,5223.31,31737.85,434,434,416.34,107.85,278,1391,1391,1939,382.97,2293,897,897,7517.23,3078.36,12381,10,10,17.54,3,20,3.21,3.21,5.29,3.79,8.25,1.29,1.29,1.31,0.03,1.32,0,0,0,0
"200x200k60s45221",200,200,60,37196,2241,563,5,7,256,0,0,1,1800,10103,14042637726703493120,10104,0,0,10104,1434,257.53,0.18,0.01,0.18,6804.46,6804.46,13668.8,3173.5,15042.35,265,265,248.95,66.36,219,842,842,1390.49,297.38,1368,1161,1161,7518.22,2604.7,10504,12,12,24.3,3.28,26,3.18,3.18,6.38,5.8,6.25,1.33,1.33,1.32,0.03,1.31,0,0,0,0
"200x200k80s45221",200,200,80,37196,2241,563,5,7,256,0,0,1,1800,9049,14042644502671478784,9050,0,0,9050,1667,333.08,0.2,0.01,0.19,5045.62,5045.62,10609.62,2155.92,11243.33,257,257,174.13,47.16,184,962,962,1096.66,248.69,1103,1479,1479,7263.43,2351.24,7773,24,24,30.13,3.64,34,3.74,3.74,7.09,4,5.99,1.31,1.31,1.32,0.02,1.35,0,0,0,0
"300x300k100s94113",300,300,100,81694,8189,117,6,4,256,0,0,1,1800,2274,14042645262969413632,2275,0,0,2275,480,381.84,0.79,0.06,0.89,13056.35,13056.35,17311.96,3510.78,15516.3,380,380,305.38,79.61,324,1387,1387,1722.7,346.66,1451,4163,4163,13708.57,3952.08,11469,21,21,33.94,3.65,32,3.65,3.65,6.29,3.67,4.48,1.32,1.32,1.35,0.03,1.3,0,0,0,0
"300x300k20s94113",300,300,20,81694,8189,117,6,4,256,0,0,1,1800,4676,14041018003583920128,4677,0,0,4677,327,127.94,0.38,0.04,0.43,53663.39,53663.39,81126.75,20416.57,77336.19,1702,1702,1969.28,484.72,1670,6712,6712,7995.59,635.98,7720,1669,1669,18937.54,8547.67,28607,2,2,9.17,2.22,12,3.94,3.94,4.47,2.19,4.62,1.42,1.42,1.38,0.06,1.34,0,0,0,0
