"instance","w","h","lots","land_cells","river_cells","preserve_cells","aptitude_classes","connected_components","batch_size","crossover_rate","keep_rate","new_rate","time","generations","seed","num_new_solutions","num_crossovers","num_mutations","num_solutions_explored","generation_best","time_to_best","time_avg","time_std_dev","time_initial","value_best","value_worst","value_avg","value_std_dev","value_initial","max_area_best","max_area_worst","max_area_avg","max_area_std_dev","max_area_initial","min_area_best","min_area_worst","min_area_avg","min_area_std_dev","min_area_initial","rivers_best","rivers_worst","rivers_avg","rivers_std_dev","rivers_initial","river_violations_best","river_violations_worst","river_violations_avg","river_violations_std_dev","river_violations_initial","size_ratio_best","size_ratio_worst","size_ratio_avg","size_ratio_std_dev","size_ratio_initial","convexity_best","convexity_worst","convexity_avg","convexity_std_dev","convexity_initial","num_empty_crossover_lots","num_disconnected_crossover_lots","num_empty_mutation_lots","num_disconnected_mutation_lots"
"600x600k40s6306",600,600,40,342444,17364,192,10,4,256,6,2,2,1800.07,0,14059673939456772096,0,0,0,0,4186,1043.97,0.23,0.03,0.25,377111.46,419953.77,363607.93,69715.3,406771.02,1294,354,1474.5,660.63,1372,21548,28000,25810.64,6798.75,26974,33633,257191,154593.25,27995.1,178643,10,26,20.28,2.42,21,16.65,79.1,25.14,46.06,19.66,1.17,1.16,1.18,0.02,1.19,0,0,0,0
"600x600k60s6306",600,600,60,342444,17364,192,10,4,256,6,2,2,1800.17,0,14059636933331941376,0,0,0,0,4784,1209.71,0.24,0.03,0.25,225588.04,251063.3,238128.4,37242.84,258057.12,692,563,866.67,390.28,502,16051,18775,17884.97,4397.36,22990,45873,205219,139541.63,20478.34,124665,17,29,26.9,2.83,24,23.2,33.35,30.34,61.79,45.8,1.17,1.18,1.17,0.02,1.18,0,0,0,0
"600x600k80s6306",600,600,80,342444,17364,192,10,4,256,6,2,2,1800.01,0,14059673378533099520,0,0,0,0,253,52.45,0.22,0.01,0.14,207571.22,184256.96,176785.21,24518.9,196558.85,1338,201,596.81,263.1,618,13878,11020,13800.25,3150.58,14068,64408,181224,128631.78,16188.4,140617,31,36,32.61,3.15,37,10.37,54.83,32.28,39.95,22.76,1.18,1.17,1.17,0.01,1.17,0,0,0,0
"200x200k100s45221",200,200,100,37594,2241,165,5,7,256,6,2,2,1800.03,0,14032390768559450112,0,0,0,0,32374,1247.51,0.04,0.01,0.03,10312.05,13298,12624.21,1583.31,12799.12,60,14,46.88,21.83,61,1074,1292,1198.46,270.09,1096,5584,17422,11556.67,1428.6,12441,24,40,32.13,3.07,32,17.9,92.29,38.25,59.6,17.97,1.16,1.16,1.16,0.01,1.16,0,0,0,0
"200x200k20s45221",200,200,20,37196,2241,563,5,7,256,6,2,2,1800.01,0,14059423570538213376,0,0,0,0,27331,881.53,0.03,0,0.02,69984.02,77207.99,64396.81,15926.09,96925.43,460,69,425.05,195.6,234,5432,5887,4900.67,1326.26,7433,0,35816,16547.23,4726.02,22098,0,19,10.72,2.05,13,11.81,85.32,17.33,54.13,31.76,1.14,1.15,1.18,0.03,1.21,0,0,0,0
"200x200k40s45221",200,200,40,37196,2241,563,5,7,256,6,2,2,1800.01,0,14059624808854292480,0,0,0,0,31595,1065.24,0.03,0,0.02,26689.75,34277.93,31938.9,6008.44,32317.1,68,46,166.02,75.19,156,2671,2722,2685.26,685.55,2488,3995,25393,15044.46,2688.41,21452,14,23,18.05,2.24,21,39.28,59.17,23.69,48.49,15.95,1.15,1.15,1.17,0.02,1.15,0,0,0,0
"200x200k60s45221",200,200,60,37196,2241,563,5,7,256,6,2,2,1800.03,0,14059625333161639936,0,0,0,0,3697,118.58,0.03,0.01,0.02,21709.83,26069.6,21102.08,3299.22,20960.83,66,14,95.42,43,139,1941,2426,1879.61,446.95,2104,4932,21889,13458.84,2001.27,12290,16,26,23.3,2.53,24,29.41,173.29,29.07,55.71,15.14,1.18,1.15,1.16,0.02,1.16,0,0,0,0
"200x200k80s45221",200,200,80,37196,2241,563,5,7,256,6,2,2,1800.01,0,14033257859090567168,0,0,0,0,30165,1123.01,0.04,0.01,0.02,14560,20411.45,15727.9,2154.74,14012.61,68,24,64.55,29.41,87,1501,2263,1451.25,332.19,1153,5955,18373,12245.67,1640.23,12207,24,29,27.59,2.78,28,22.07,94.29,33.32,53.84,13.25,1.17,1.15,1.16,0.01,1.15,0,0,0,0
"300x300k100s94113",300,300,100,81694,8189,117,6,4,256,6,2,2,1800.05,0,14059421792740208640,0,0,0,0,3907,338.49,0.09,0.01,0.06,25882.53,39814.91,29161.11,3914.91,37231.53,136,82,103.43,46.82,51,2088,3209,2689.65,643.66,3681,15448,40933,27282.17,3179.52,30230,30,40,34.83,3.1,31,15.35,39.13,37.67,59.7,72.18,1.16,1.16,1.17,0.01,1.15,0,0,0,0
"300x300k20s94113",300,300,20,81694,8189,117,6,4,256,6,2,2,1800.02,0,14059421381135366144,0,0,0,0,14686,1083.9,0.07,0.01,0.06,114645.48,329794.64,144888.02,32943.56,113302.94,1248,231,877.36,414.74,696,9931,24978,10328.87,2460.39,8319,0,71498,35315.48,10563.42,39236,0,14,10.73,2.12,12,7.96,108.13,17.95,77.55,11.95,1.17,1.19,1.19,0.03,1.21,0,0,0,0
"300x300k40s94113",300,300,40,81694,8189,117,6,4,256,6,2,2,1800.03,0,14059434226327619584,0,0,0,0,19355,1481.73,0.08,0.01,0.06,55236.66,90701.98,75242.27,14484.55,77310.76,135,69,354.42,160.44,58,5115,8992,6106.32,1537.32,4589,10299,59131,34790.3,6035.29,39167,12,24,19.16,2.29,18,37.89,130.32,25.51,65.5,79.12,1.2,1.18,1.18,0.02,1.2,0,0,0,0
"300x300k60s94113",300,300,60,81694,8189,117,6,4,256,6,2,2,1800,0,14060306943773880320,0,0,0,0,17726,1410.93,0.08,0.01,0.06,40246.87,73220.31,49562.33,8284.98,55498.47,368,106,205.73,93.45,166,3548,5552,4285.76,1093.76,3969,14418,48076,31886.04,4526.55,31445,21,29,25.34,2.6,27,9.64,52.38,30.8,74.87,23.91,1.17,1.18,1.18,0.02,1.17,0,0,0,0
"300x300k80s94113",300,300,80,81694,8189,117,6,4,256,6,2,2,1800.01,0,14060150390866778112,0,0,0,0,9871,836.36,0.08,0.01,0.06,32263.51,43202.42,36772.9,5462.53,39514.71,165,32,140.04,63.45,180,2806,3392,3306.87,826.17,4104,11787,42067,29328.69,3765.8,25066,26,35,30.38,2.91,32,17.01,106,34.41,60.1,22.8,1.16,1.16,1.17,0.01,1.2,0,0,0,0
"400x400k100s16692",400,400,100,153235,6765,0,5,2,256,6,2,2,1800.02,0,14060306908651761664,0,0,0,0,8422,1401.19,0.17,0.03,0.07,56703.65,66663.86,47546.24,5474.64,42139.67,170,66,207.91,89.99,348,6444,8670,4855.88,1050.27,4790,19090,54461,35942.55,4774.85,31459,24,23,24.45,2.68,24,37.91,131.36,33.8,82.86,13.76,1.2,1.16,1.16,0.01,1.14,0,0,0,0
"400x400k20s16692",400,400,20,153235,6765,0,5,2,256,6,2,2,1800.02,0,14060150629814446080,0,0,0,0,1684,238.24,0.15,0.02,0.11,212514.32,561703.6,248044.93,59356.74,197626.36,1268,584,1772.25,782.22,1743,15947,41102,20029.68,5446.18,19729,3864,120160,60082.13,15969.89,34375,5,11,8.96,1.57,9,12.58,70.38,15.75,17.04,11.32,1.16,1.17,1.17,0.03,1.27,0,0,0,0
"400x400k40s16692",400,400,40,153235,6765,0,5,2,256,6,2,2,1800.06,0,14060150980685834240,0,0,0,0,0,0.11,0.15,0.02,0.11,93108.7,225708.78,122268.64,21542.04,93108.7,1322,215,704.67,307.38,1322,7701,25190,11010.91,2641.73,7701,13212,90714,49643.97,9341.13,13212,9,15,14.21,1.9,9,5.83,117.16,22.23,63.9,5.83,1.17,1.15,1.16,0.02,1.17,0,0,0,0
"400x400k60s16692",400,400,60,153235,6765,0,5,2,256,6,2,2,1800.05,0,14060106868766654464,0,0,0,0,988,160.91,0.16,0.02,0.12,82251.42,111103.29,80539.4,11609.97,73479.13,617,308,410.47,177.23,299,8046,10604,7714.05,1761.15,6513,19245,70195,43429.72,6943.56,52961,18,24,18.15,2.2,17,13.04,34.43,26.14,56.47,21.78,1.17,1.16,1.16,0.01,1.16,0,0,0,0
"400x400k80s16692",400,400,80,153235,6765,0,5,2,256,6,2,2,1800.03,0,14060306923064817664,0,0,0,0,1238,199.27,0.16,0.02,0.12,54266.03,59294.41,59793.89,7605.76,50062.42,302,237,279.38,120.32,170,6682,6154,5946.55,1325.83,5255,14882,59441,39098.94,5747.48,39509,20,24,21.48,2.46,20,22.13,25.97,29.66,43.9,30.91,1.15,1.17,1.16,0.01,1.16,0,0,0,0
"500x500k100s32414",500,500,100,242511,5001,2488,7,7,256,6,2,2,1800.21,0,14059415583585122304,0,0,0,0,4002,1140.54,0.28,0.04,0.18,79443.07,138360.93,88248.54,11706.79,88940.2,201,135,332.31,142.99,234,5862,10831,7548.61,1480.8,6481,33383,89761,60215.61,8253.78,71502,32,24,26.06,2.74,25,29.16,80.23,31.49,43.24,27.7,1.16,1.16,1.15,0.01,1.17,0,0,0,0
"500x500k20s32414",500,500,20,242511,5001,2488,7,7,256,6,2,2,1800.19,0,14060300242111862784,0,0,0,0,2710,655.35,0.24,0.03,0.21,392252.83,1091759.25,444996.05,114599.41,371197.82,1007,556,2848.43,1280.78,1725,21277,67044,31269.99,8613.69,32207,12292,196017,102315.93,28746.07,144267,4,10,9.84,1.7,9,21.13,120.58,15.97,24.64,18.67,1.14,1.18,1.16,0.03,1.18,0,0,0,0
"500x500k40s32414",500,500,40,242511,5001,2488,7,7,256,6,2,2,1800.13,0,14060157000461312000,0,0,0,0,1844,455.43,0.25,0.03,0.21,165661.59,302428.66,223123.62,44408.65,240529.88,2493,643,1133.62,493.37,1799,13301,26922,17102.53,4060.35,16137,22638,145059,84513.04,16912.68,73801,10,20,15.4,2.04,16,5.34,41.87,21.1,28.04,8.97,1.15,1.18,1.16,0.02,1.16,0,0,0,0
"500x500k60s32414",500,500,60,242511,5001,2488,7,7,256,6,2,2,1800.22,0,14059403297205172224,0,0,0,0,1579,408.93,0.26,0.04,0.12,130873.55,197587.55,147696.04,25002.5,120571.53,724,165,660.45,286.92,903,10338,15060,11897.6,2564.67,8698,30009,125654,73268.34,12279.21,68044,17,19,19.55,2.32,18,14.28,91.27,24.91,32.29,9.63,1.16,1.15,1.15,0.01,1.14,0,0,0,0
"500x500k80s32414",500,500,80,242511,5001,2488,7,7,256,6,2,2,1800.15,0,1.4060300792565e+19,0,0,0,0,367,100.28,0.27,0.04,0.2,105404.97,131727.99,111081.24,16594.37,100544.06,226,340,448.34,191.56,555,8268,10538,9208.55,1877.02,10942,30562,106770,65546.78,9762.67,59497,20,24,23,2.54,23,36.58,30.99,28.54,44.03,19.72,1.14,1.15,1.15,0.01,1.13,0,0,0,0
"600x600k100s6306",600,600,100,342444,17364,192,10,4,256,6,2,2,1800.24,0,14060300260132487168,0,0,0,0,3774,1559.99,0.41,0.06,0.3,123188.37,162542.39,140901.86,17968.37,188348.92,514,290,439.55,192.89,6,7836,12441,11350.38,2558.53,17644,70112,171271,121495.16,13718.08,121361,37,37,37.69,3.39,40,15.25,42.9,36.53,68.93,2940.67,1.17,1.16,1.17,0.01,1.16,0,0,0,0
